na,nb,road_length,road_width
2980,1853,29.280350,0
2981,2982,201.508722,30
2983,2984,136.231707,18
2986,2987,260.583554,34
2988,2989,570.676896,45
2990,2991,311.892953,32
2992,2993,263.273487,44
2994,2995,260.919396,38
2997,2998,37.744251,0
2999,3000,254.077102,30
3002,3003,64.504171,40
3004,3005,154.722614,15
3006,3007,16.997738,32
3008,3009,459.868359,45
3012,3013,88.302730,30
3014,3015,460.341069,30
3019,3020,230.115109,30
3021,3022,636.286388,30
3025,3026,177.369937,34
3027,3028,224.631864,34
3029,3030,113.530084,30
3031,3032,263.471405,60
3033,3034,29.246955,34
3036,3037,510.824241,24
3039,3040,425.614109,30
3041,3042,152.988862,30
3043,3044,493.824583,30
3045,3046,256.054089,60
3047,3048,307.576001,25
3049,3050,591.543299,30
3051,3052,262.784322,50
3053,3054,511.633163,30
3055,3056,485.837410,50
3057,3058,260.283185,44
3060,3061,295.502758,20
3062,3063,510.184465,30
3064,3065,47.299983,26
3066,3067,251.246597,25
3068,3069,258.800851,70
3071,3072,47.967814,24
3076,3077,402.798332,24
3079,3080,42.083514,60
3127,3128,2842.552418,0
3129,3130,31.138051,30
3133,3134,202.101818,40
3135,3136,159.226114,32
3148,3149,472.957934,30
3151,3152,67.352711,40
3158,3159,600.215067,0
3162,3163,700.145512,44
3164,3165,250.321841,30
3166,3167,280.248118,35
3168,3169,272.587901,22
3170,3171,69.836446,20
3172,3173,247.411110,40
3174,1912,471.729182,24
3175,3176,179.942626,52
3177,3178,780.484905,30
3179,3180,226.860803,30
3184,3185,264.631603,16
3186,3187,55.201713,0
3188,3189,190.451327,44
3191,3192,44.183285,30
3193,3194,778.449799,32
3195,3196,266.548556,32
3209,3210,570.012271,30
3213,3214,305.442107,30
3215,3216,105.136602,42
3217,3218,56.780199,60
3219,3220,99.871542,25
3222,3223,257.300410,70
3224,3225,232.430455,30
3072,3226,72.423173,24
3229,3230,260.317179,30
3231,3232,65.407444,38
3233,3234,259.920773,36
3236,3237,259.583449,30
3238,3239,170.123537,40
3240,3241,495.519816,25
3242,3243,235.959287,60
3244,3245,520.670547,30
3246,3247,95.512066,28
3248,43,270.391127,30
3249,3250,259.241439,50
3252,3253,290.852735,42
3254,3255,632.512480,30
3256,3257,260.199788,42
3258,3259,421.037644,30
3260,3261,774.448003,30
3262,3263,259.615708,24
3264,3265,840.027852,30
3271,3272,987.551225,50
3273,3274,260.804603,34
3281,3282,307.839969,24
3284,3285,141.472886,25
3288,3289,261.084469,12
3294,3295,73.829288,40
3296,3297,230.015325,38
3299,3300,861.547999,35
3301,3302,139.825847,34
3304,3305,145.559729,0
3306,3307,98.092489,30
3308,3309,251.763907,68
2136,3310,1306.967881,30
3312,3313,44.182786,60
3314,3315,128.781102,48
3316,3317,267.462293,32
3318,587,289.991644,42
3319,3320,72.616317,30
3321,3322,162.663742,50
3323,3324,370.135249,36
3326,3327,274.889143,0
3328,3329,894.783344,30
3330,3331,394.849620,30
3332,3333,407.666679,32
3335,3336,40.386726,40
3337,3338,508.667853,30
3340,3341,248.060026,30
3342,3343,260.441733,54
3348,3349,276.700227,22
3350,3351,354.232661,28
3352,3353,460.908074,24
3354,3355,805.060978,56
3356,3357,144.458163,23
3359,3360,41.127188,0
3361,3362,31.561172,50
3363,3364,258.928928,44
3365,3366,260.320482,40
3369,3370,259.787843,60
3375,3376,619.238478,0
3377,3378,181.243252,30
3379,3380,229.967068,26
3381,3382,458.648609,30
3383,3384,750.001307,30
3385,3386,49.743920,30
3387,3388,216.241989,30
3389,3390,77.447198,30
3391,3392,299.167728,30
3393,3394,125.144419,42
3395,3396,148.324141,30
3397,3398,217.111988,50
3399,3400,131.658286,60
3401,3402,388.070803,38
3403,3404,417.217559,30
3405,3406,318.433246,30
3408,3409,436.554009,35
3410,3411,657.769678,25
3416,3417,168.716480,30
3418,3419,271.906009,40
3420,3421,303.812994,28
3422,3423,276.567710,30
3426,3427,143.019151,0
3428,3429,270.681028,32
3431,3432,32.612681,30
3433,3434,242.504456,38
3435,3436,260.562976,32
3437,3438,164.125462,0
3439,3440,253.155457,40
3441,3442,723.337032,30
3443,3444,283.066389,32
3445,3316,267.567110,32
3450,3451,271.984152,0
3456,3457,454.161243,44
3458,3459,258.217374,48
3460,3461,252.036093,36
3463,3464,29.383498,36
3465,3466,260.313783,40
3544,3545,511.169424,24
3546,3547,114.747165,52
3548,3549,277.828173,30
3558,3559,938.073698,30
3560,3561,292.323976,40
1380,3562,259.023920,45
3564,3565,572.863273,30
3567,3568,121.964802,18
3569,3570,153.795737,36
3571,3572,266.826143,60
3573,3574,77.703029,60
3575,3576,579.212378,25
3577,3578,230.580916,50
3580,3581,130.229519,18
3582,3583,681.233599,30
3584,3585,568.938217,28
3588,3589,229.805444,22
3590,3591,293.068813,42
3595,3596,588.991061,0
3598,3599,496.694408,30
3603,3604,319.812774,50
3605,3606,284.262177,14
3607,3608,169.414741,22
3648,3649,489.220073,58
3650,3651,301.342758,42
3652,3653,271.298361,32
3654,3655,293.914874,24
3657,3658,699.174635,34
3659,2828,41.653338,16
3660,3661,673.406252,24
3662,3663,981.709100,30
3664,3665,254.719983,60
3666,3667,541.297139,28
3668,3669,287.028107,34
3670,3671,659.204582,35
3674,3675,195.355243,0
3676,3677,476.029834,32
3683,3684,874.758886,24
3685,3686,125.527138,30
3687,3688,271.910481,40
3689,3690,626.429966,20
3691,3692,257.861377,22
3693,3694,80.414054,42
3695,3696,763.224102,30
3697,3698,11.390216,30
3699,3700,412.445683,30
3701,3702,389.332218,42
3713,3714,1398.299248,22
3715,3716,36.753422,45
3718,3719,77.939955,34
3720,3721,251.814440,40
3726,3727,230.165160,0
3728,3729,465.745805,30
3730,3731,452.711482,34
3736,3737,35.540915,40
3738,3739,260.769330,24
3741,3742,209.870876,30
3751,3752,502.786123,16
3756,3757,260.089622,36
3758,3759,251.983231,30
3760,3761,271.348295,48
3762,3763,63.341474,0
3764,3765,63.091199,26
3775,3776,1240.046964,36
3777,3778,66.751138,18
3779,3780,60.686946,30
3781,3782,553.178120,24
3783,3784,240.931622,30
3786,3787,587.287028,20
3788,3789,258.638140,44
3790,3791,91.255854,18
3792,3793,899.045121,30
3794,3795,26.409696,44
3796,3797,140.170524,25
3799,3606,29.361771,30
3800,3801,252.995474,32
3802,3803,262.148319,70
3808,3809,183.054030,22
3810,3811,226.575172,16
3813,3814,56.048269,0
3815,3816,273.973618,44
3817,3818,922.161669,32
3820,3821,282.401492,25
3823,2788,257.947935,28
3824,3825,259.946243,40
3826,3827,260.699815,35
3828,3829,503.211566,35
3830,3831,287.322852,30
3832,3833,150.873962,44
3835,3836,81.073394,25
3837,3838,238.516085,42
3839,3840,487.120526,30
3842,3843,238.497051,6
3845,3846,298.051645,18
3848,3849,37.334343,50
3850,3851,271.489393,30
3852,3853,79.904454,26
3863,3864,155.937534,10
3865,3866,300.220489,50
3867,3868,708.189151,32
3870,3871,1017.428015,30
3872,3873,250.150535,50
3874,3875,855.350304,30
3876,3877,359.410588,54
3899,3900,213.698017,30
3901,3902,262.982055,30
3903,3904,102.497278,28
3905,3906,259.499283,42
3907,1764,252.357064,40
3908,3909,259.656175,0
3910,3911,341.595113,46
3916,3917,1111.438411,12
3918,3919,242.397721,0
3921,3922,110.424207,54
3929,3930,351.555110,38
3931,3932,74.744053,18
3933,3934,722.251140,34
3935,3936,44.239690,36
3937,3938,264.516157,46
3939,3940,256.598181,30
3941,3942,705.701761,30
3943,3944,260.521600,42
3945,3946,55.080703,30
3947,3948,21.726133,42
